Month,Interest
2004-01,16
2004-02,7
2004-03,5
2004-04,5
2004-05,5
2004-06,4
2004-07,4
2004-08,6
2004-09,6
2004-10,11
2004-11,30
2004-12,65
2005-01,16
2005-02,8
2005-03,5
2005-04,6
2005-05,5
2005-06,3
2005-07,4
2005-08,5
2005-09,8
2005-10,13
2005-11,32
2005-12,77
2006-01,16
2006-02,7
2006-03,6
2006-04,6
2006-05,4
2006-06,4
2006-07,5
2006-08,5
2006-09,8
2006-10,11
2006-11,30
2006-12,63
2007-01,13
2007-02,8
2007-03,6
2007-04,4
2007-05,4
2007-06,4
2007-07,4
2007-08,4
2007-09,6
2007-10,8
2007-11,27
2007-12,65
2008-01,13
2008-02,7
2008-03,5
2008-04,4
2008-05,4
2008-06,4
2008-07,3
2008-08,5
2008-09,6
2008-10,8
2008-11,22
2008-12,59
2009-01,13
2009-02,9
2009-03,4
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,4
2009-09,4
2009-10,7
2009-11,20
2009-12,57
2010-01,17
2010-02,9
2010-03,5
2010-04,3
2010-05,3
2010-06,3
2010-07,3
2010-08,3
2010-09,4
2010-10,6
2010-11,21
2010-12,59
2011-01,14
2011-02,8
2011-03,4
2011-04,4
2011-05,4
2011-06,4
2011-07,3
2011-08,4
2011-09,5
2011-10,8
2011-11,21
2011-12,52
2012-01,12
2012-02,8
2012-03,5
2012-04,4
2012-05,4
2012-06,3
2012-07,4
2012-08,4
2012-09,6
2012-10,9
2012-11,26
2012-12,64
2013-01,18
2013-02,9
2013-03,6
2013-04,4
2013-05,4
2013-06,4
2013-07,4
2013-08,5
2013-09,5
2013-10,9
2013-11,28
2013-12,73
2014-01,41
2014-02,40
2014-03,37
2014-04,43
2014-05,29
2014-06,21
2014-07,19
2014-08,21
2014-09,18
2014-10,20
2014-11,42
2014-12,81
2015-01,27
2015-02,18
2015-03,13
2015-04,10
2015-05,9
2015-06,9
2015-07,9
2015-08,9
2015-09,10
2015-10,15
2015-11,34
2015-12,72
2016-01,21
2016-02,12
2016-03,8
2016-04,7
2016-05,6
2016-06,7
2016-07,7
2016-08,7
2016-09,8
2016-10,13
2016-11,35
2016-12,64
2017-01,17
2017-02,10
2017-03,7
2017-04,6
2017-05,5
2017-06,5
2017-07,8
2017-08,8
2017-09,11
2017-10,39
2017-11,43
2017-12,78
2018-01,24
2018-02,13
2018-03,11
2018-04,8
2018-05,6
2018-06,6
2018-07,8
2018-08,8
2018-09,8
2018-10,12
2018-11,35
2018-12,65
2019-01,18
2019-02,10
2019-03,7
2019-04,6
2019-05,7
2019-06,7
2019-07,7
2019-08,9
2019-09,10
2019-10,13
2019-11,32
2019-12,63
2020-01,23
2020-02,15
2020-03,17
2020-04,15
2020-05,13
2020-06,12
2020-07,13
2020-08,12
2020-09,15
2020-10,20
2020-11,37
2020-12,100
2021-01,55
2021-02,34
2021-03,23
2021-04,18
2021-05,16
2021-06,15
2021-07,17
2021-08,17
2021-09,19
2021-10,18
2021-11,34
2021-12,60
